Source Id,dt,Cost,date,Clicks,Revenue,Orders,ROAS,CPC,Conversion Rate
1,2017-06-01,75.2,2017-06-01,61.0,596.81,208.0,7.936303191489361,1.2327868852459016,3.4098360655737703
1,2017-06-02,62.25,2017-06-02,50.0,2301.48,355.0,36.97156626506024,1.245,7.1
1,2017-06-03,36.53,2017-06-03,37.0,676.37,210.0,18.515466739666028,0.9872972972972973,5.675675675675675
1,2017-06-04,55.0,2017-06-04,44.0,2298.15,186.0,41.78454545454546,1.25,4.2272727272727275
1,2017-06-05,57.08,2017-06-05,73.0,4352.1,964.0,76.24562018220043,0.7819178082191781,13.205479452054794
1,2017-06-06,40.39,2017-06-06,88.0,4465.110000000001,480.0,110.54988858628374,0.45897727272727273,5.454545454545454
1,2017-06-07,40.59,2017-06-07,65.0,1413.48,542.0,34.82335550628233,0.6244615384615385,8.338461538461539
1,2017-06-08,56.63,2017-06-08,83.0,349.5,117.0,6.171640473247395,0.682289156626506,1.4096385542168675
1,2017-06-09,40.16,2017-06-09,55.0,620.14,127.0,15.441733067729084,0.7301818181818182,2.309090909090909
1,2017-06-10,43.24,2017-06-10,26.0,389.18,133.0,9.0004625346901,1.6630769230769231,5.115384615384615
1,2017-06-11,21.68,2017-06-11,17.0,1503.54,491.0,69.35147601476015,1.275294117647059,28.88235294117647
1,2017-06-12,27.48,2017-06-12,23.0,3031.0099999999998,594.0,110.29876273653565,1.1947826086956521,25.82608695652174
1,2017-06-13,44.66,2017-06-13,42.0,1037.59,212.0,23.233094491715182,1.0633333333333332,5.0476190476190474
1,2017-06-14,30.7,2017-06-14,50.0,536.8299999999999,172.0,17.48631921824104,0.614,3.44
1,2017-06-15,39.71,2017-06-15,57.0,210.94,534.0,5.312012087635356,0.6966666666666667,9.368421052631579
1,2017-06-16,39.1,2017-06-16,36.0,2505.84,132.0,64.08797953964195,1.0861111111111112,3.6666666666666665
1,2017-06-17,21.41,2017-06-17,21.0,21.86,7.0,1.0210182157870153,1.0195238095238095,0.3333333333333333
1,2017-06-18,50.04,2017-06-18,19.0,3189.89,118.0,63.746802557953636,2.6336842105263156,6.2105263157894735
1,2017-06-19,25.08,2017-06-19,40.0,269.38,24.0,10.740829346092504,0.627,0.6
1,2017-06-20,25.37,2017-06-20,44.0,5308.32,611.0,209.23610563657863,0.5765909090909092,13.886363636363637
1,2017-06-21,22.6,2017-06-21,36.0,40.65,11.0,1.7986725663716812,0.6277777777777778,0.3055555555555556
1,2017-06-22,21.68,2017-06-22,35.0,164.74,344.0,7.598708487084871,0.6194285714285714,9.82857142857143
1,2017-06-23,28.6,2017-06-23,41.0,167.04,53.0,5.84055944055944,0.6975609756097562,1.2926829268292683
1,2017-06-24,10.72,2017-06-24,25.0,157.52,104.0,14.694029850746269,0.4288,4.16
1,2017-06-25,22.03,2017-06-25,20.0,869.55,245.0,39.47117566954153,1.1015000000000001,12.25
1,2017-06-26,31.91,2017-06-26,51.0,4523.35,785.0,141.75336884989034,0.625686274509804,15.392156862745098
1,2017-06-27,47.73,2017-06-27,38.0,238.69,57.0,5.000838047349675,1.2560526315789473,1.5
1,2017-06-28,38.48,2017-06-28,43.0,7318.139999999999,850.0,190.18035343035342,0.8948837209302325,19.767441860465116
1,2017-06-29,32.58,2017-06-29,55.0,331.90999999999997,110.0,10.187538367096378,0.5923636363636363,2.0
1,2017-06-30,36.98,2017-06-30,38.0,2635.84,588.0,71.27744726879395,0.973157894736842,15.473684210526315
1,2017-07-01,5.8,2017-07-01,26.0,687.35,168.0,118.50862068965517,0.22307692307692306,6.461538461538462
1,2017-07-02,27.99,2017-07-02,27.0,1291.54,208.0,46.14290818149339,1.0366666666666666,7.703703703703703
1,2017-07-03,21.56,2017-07-03,41.0,920.88,193.0,42.712430426716146,0.5258536585365854,4.7073170731707314
1,2017-07-04,37.63,2017-07-04,38.0,19630.53,1106.0,521.6723359022056,0.990263157894737,29.105263157894736
1,2017-07-05,22.11,2017-07-05,54.0,516.89,104.0,23.378109452736318,0.40944444444444444,1.9259259259259258
1,2017-07-06,23.32,2017-07-06,54.0,20190.22,756.0,865.7898799313894,0.4318518518518519,14.0
1,2017-07-07,47.25,2017-07-07,39.0,1875.04,532.0,39.683386243386245,1.2115384615384615,13.64102564102564
1,2017-07-08,32.26,2017-07-08,32.0,1749.83,251.0,54.24147551146931,1.008125,7.84375
1,2017-07-09,54.94,2017-07-09,34.0,103.54,41.0,1.8846013833272663,1.6158823529411763,1.2058823529411764
1,2017-07-10,30.69,2017-07-10,67.0,3309.25,323.0,107.82828282828282,0.45805970149253733,4.82089552238806
1,2017-07-11,24.08,2017-07-11,42.0,1318.13,342.0,54.739617940199345,0.5733333333333333,8.142857142857142
1,2017-07-12,53.53,2017-07-12,51.0,616.85,203.0,11.523444797309919,1.0496078431372549,3.980392156862745
1,2017-07-13,34.52,2017-07-13,63.0,3200.39,864.0,92.71118192352259,0.5479365079365079,13.714285714285714
1,2017-07-14,63.52,2017-07-14,62.0,2999.04,937.0,47.21410579345088,1.0245161290322582,15.112903225806452
1,2017-07-15,52.47,2017-07-15,45.0,2926.74,1237.0,55.77930245854774,1.166,27.488888888888887
1,2017-07-16,34.02,2017-07-16,36.0,593.69,109.0,17.451205173427397,0.9450000000000001,3.0277777777777777
1,2017-07-17,90.87,2017-07-17,123.0,3233.46,402.0,35.58336084516342,0.738780487804878,3.268292682926829
1,2017-07-18,54.31,2017-07-18,85.0,1469.5,262.0,27.057632111949918,0.6389411764705882,3.0823529411764707
1,2017-07-19,46.85,2017-07-19,46.0,2588.9,341.0,55.259338313767344,1.0184782608695653,7.413043478260869
1,2017-07-20,28.46,2017-07-20,51.0,1437.16,605.0,50.497540407589604,0.5580392156862746,11.862745098039216
1,2017-07-21,36.25,2017-07-21,47.0,1742.16,604.0,48.059586206896554,0.7712765957446809,12.851063829787234
1,2017-07-22,20.98,2017-07-22,26.0,3135.26,527.0,149.44041944709247,0.806923076923077,20.26923076923077
1,2017-07-23,28.1,2017-07-23,25.0,726.9300000000001,172.0,25.869395017793597,1.124,6.88
1,2017-07-24,48.58,2017-07-24,47.0,30874.76,474.0,635.5446685878962,1.0336170212765956,10.085106382978724
1,2017-07-25,13.31,2017-07-25,36.0,907.0199999999999,138.0,68.1457550713749,0.36972222222222223,3.8333333333333335
1,2017-07-26,27.38,2017-07-26,42.0,895.6899999999999,182.0,32.713294375456535,0.6519047619047619,4.333333333333333
1,2017-07-27,9.92,2017-07-27,33.0,287.99,54.0,29.03125,0.3006060606060606,1.6363636363636365
1,2017-07-28,23.5,2017-07-28,30.0,823.0,167.0,35.02127659574468,0.7833333333333333,5.566666666666666
1,2017-07-29,12.6,2017-07-29,28.0,232.96,103.0,18.48888888888889,0.45,3.6785714285714284
1,2017-07-30,34.96,2017-07-30,30.0,123.61,45.0,3.5357551487414187,1.1653333333333333,1.5
1,2017-07-31,31.12,2017-07-31,45.0,1302.32,275.0,41.84832904884318,0.6915555555555556,6.111111111111111
1,2017-08-01,44.65,2017-08-01,35.0,2429.27,398.0,54.40694288913774,1.2757142857142856,11.371428571428572
1,2017-08-02,25.47,2017-08-02,40.0,341.02,223.0,13.389085198272477,0.6367499999999999,5.575
1,2017-08-03,19.96,2017-08-03,32.0,941.97,253.0,47.19288577154308,0.62375,7.90625
1,2017-08-04,23.08,2017-08-04,27.0,1438.67,541.0,62.33405545927211,0.8548148148148148,20.037037037037038
1,2017-08-05,26.49,2017-08-05,24.0,1341.58,252.0,50.64477161192903,1.10375,10.5
1,2017-08-06,13.21,2017-08-06,21.0,1054.47,271.0,79.82361847085541,0.6290476190476191,12.904761904761905
1,2017-08-07,27.78,2017-08-07,33.0,658.86,196.0,23.7170626349892,0.8418181818181818,5.9393939393939394
1,2017-08-08,33.71,2017-08-08,27.0,3797.12,969.0,112.64075941857016,1.2485185185185186,35.888888888888886
1,2017-08-09,19.67,2017-08-09,37.0,772.05,401.0,39.25012709710218,0.5316216216216216,10.837837837837839
1,2017-08-10,32.73,2017-08-10,33.0,467.17,105.0,14.273449434769327,0.9918181818181817,3.1818181818181817
1,2017-08-11,29.93,2017-08-11,28.0,565.39,195.0,18.89041095890411,1.0689285714285715,6.964285714285714
1,2017-08-12,16.04,2017-08-12,20.0,108.03,29.0,6.735037406483791,0.8019999999999999,1.45
1,2017-08-13,17.01,2017-08-13,15.0,745.47,161.0,43.82539682539682,1.1340000000000001,10.733333333333333
1,2017-08-14,45.75,2017-08-14,44.0,1233.66,299.0,26.965245901639346,1.0397727272727273,6.795454545454546
1,2017-08-15,34.63,2017-08-15,49.0,3440.94,719.0,99.3629800750794,0.7067346938775511,14.673469387755102
1,2017-08-16,22.07,2017-08-16,31.0,1253.1100000000001,231.0,56.77888536474853,0.7119354838709677,7.451612903225806
1,2017-08-17,50.77,2017-08-17,46.0,1397.81,450.0,27.532204057514278,1.1036956521739132,9.782608695652174
1,2017-08-18,31.57,2017-08-18,38.0,786.0400000000001,218.0,24.89832119100412,0.8307894736842105,5.7368421052631575
1,2017-08-19,23.2,2017-08-19,21.0,70.14,18.0,3.0232758620689655,1.1047619047619048,0.8571428571428571
1,2017-08-20,37.04,2017-08-20,25.0,66.76,26.0,1.8023758099352054,1.4816,1.04
1,2017-08-21,25.09,2017-08-21,40.0,11443.53,911.0,456.09924272618576,0.62725,22.775
1,2017-08-22,32.48,2017-08-22,51.0,5958.599999999999,622.0,183.45443349753694,0.6368627450980392,12.196078431372548
1,2017-08-23,22.42,2017-08-23,43.0,21719.73,1437.0,968.7658340767172,0.5213953488372094,33.41860465116279
1,2017-08-24,33.88,2017-08-24,27.0,1512.89,188.0,44.654368358913814,1.2548148148148148,6.962962962962963
1,2017-08-25,26.18,2017-08-25,41.0,3316.33,275.0,126.67417876241406,0.6385365853658537,6.7073170731707314
1,2017-08-26,30.38,2017-08-26,30.0,624.1700000000001,251.0,20.545424621461493,1.0126666666666666,8.366666666666667
1,2017-08-27,46.25,2017-08-27,31.0,5863.26,280.0,126.7731891891892,1.4919354838709677,9.03225806451613
1,2017-08-28,50.07,2017-08-28,50.0,2134.98,395.0,42.6399041342121,1.0014,7.9
1,2017-08-29,28.25,2017-08-29,55.0,3308.29,566.0,117.10761061946903,0.5136363636363637,10.290909090909091
1,2017-08-30,43.79,2017-08-30,58.0,2668.44,440.0,60.93720027403517,0.755,7.586206896551724
1,2017-08-31,38.26,2017-08-31,52.0,4813.46,727.0,125.80920020909566,0.7357692307692307,13.98076923076923
1,2017-09-01,40.28,2017-09-01,53.0,5831.02,557.0,144.76216484607747,0.76,10.50943396226415
1,2017-09-02,26.16,2017-09-02,33.0,2132.0,299.0,81.49847094801223,0.7927272727272727,9.06060606060606
1,2017-09-03,24.95,2017-09-03,36.0,1464.99,285.0,58.71703406813627,0.6930555555555555,7.916666666666667
1,2017-09-04,36.48,2017-09-04,42.0,471.71,133.0,12.930646929824562,0.8685714285714285,3.1666666666666665
1,2017-09-05,48.53,2017-09-05,62.0,6482.79,656.0,133.58314444673397,0.7827419354838709,10.580645161290322
1,2017-09-06,61.1,2017-09-06,49.0,3000.18,606.0,49.102782324058914,1.2469387755102042,12.36734693877551
1,2017-09-07,29.06,2017-09-07,61.0,14435.17,1295.0,496.7367515485203,0.4763934426229508,21.229508196721312
